Mode,Real,Imaginary,Frequency,damping,damp<0.05?
1,-0.00097824959573245,314.159265355932,49.999999999515,3.11386517478446e-06,<!>
2,-0.00097824959573245,-314.159265355932,49.999999999515,3.11386517478446e-06,<!>
3,-0.00286964687896152,314.159264634971,49.9999998847705,9.13436973496901e-06,<!>
4,-0.00286964687896152,-314.159264634971,49.9999998847705,9.13436973496901e-06,<!>
5,-0.00339723830761329,314.159239435006,49.9999958740716,1.08137462820586e-05,<!>
6,-0.00339723830761329,-314.159239435006,49.9999958740716,1.08137462820586e-05,<!>
7,-0.00486125746024868,314.159265358968,49.9999999999982,1.54738630869666e-05,<!>
8,-0.00486125746024868,-314.159265358968,49.9999999999982,1.54738630869666e-05,<!>
9,-0.0250810865782967,314.159242662041,49.9999963876701,7.98355836544587e-05,<!>
10,-0.0250810865782967,-314.159242662041,49.9999963876701,7.98355836544587e-05,<!>
11,-0.0341742593962522,314.15923232185,49.9999947419776,0.000108780056984121,<!>
12,-0.0341742593962522,-314.15923232185,49.9999947419776,0.000108780056984121,<!>
13,-0.0436518484897448,314.159511019497,50.0000390980857,0.000138948039251475,<!>
14,-0.0436518484897448,-314.159511019497,50.0000390980857,0.000138948039251475,<!>
15,-0.0443808292657195,314.159259263709,49.9999990299076,0.000141268568454371,<!>
16,-0.0443808292657195,-314.159259263709,49.9999990299076,0.000141268568454371,<!>
17,-0.0514713781629368,314.159330563809,50.0000103776709,0.000163838449043481,<!>
18,-0.0514713781629368,-314.159330563809,50.0000103776709,0.000163838449043481,<!>
19,-0.0515908224449646,314.154534648762,49.9992470840846,0.000164221158885959,<!>
20,-0.0515908224449646,-314.154534648762,49.9992470840846,0.000164221158885959,<!>
21,-0.0686099357997705,314.159264872247,49.9999999225342,0.000218392203685255,<!>
22,-0.0686099357997705,-314.159264872247,49.9999999225342,0.000218392203685255,<!>
23,-0.070963694957058,314.159224089336,49.9999934317323,0.000225884480560277,<!>
24,-0.070963694957058,-314.159224089336,49.9999934317323,0.000225884480560277,<!>
25,-0.0743712931270011,314.159127514565,49.99997806138,0.000236731275743712,<!>
26,-0.0743712931270011,-314.159127514565,49.99997806138,0.000236731275743712,<!>
27,-0.112048876383709,3.67131841245677,0.584308473006785,0.0305058605389419,<!>
28,-0.112048876383709,-3.67131841245677,0.584308473006785,0.0305058605389419,<!>
29,-0.115329216578317,314.159149471042,49.999981555862,0.000367104408709061,<!>
30,-0.115329216578317,-314.159149471042,49.999981555862,0.000367104408709061,<!>
31,-0.133581503194968,314.158866453207,49.9999365121745,0.000425203632249612,<!>
32,-0.133581503194968,-314.158866453207,49.9999365121745,0.000425203632249612,<!>
33,-0.1447408168072,314.159182955622,49.9999868850984,0.00046072440118931,<!>
34,-0.1447408168072,-314.159182955622,49.9999868850984,0.00046072440118931,<!>
35,-0.157881164033412,314.158937284162,49.9999477852711,0.000502551814890766,<!>
36,-0.157881164033412,-314.158937284162,49.9999477852711,0.000502551814890766,<!>
